galaxy_name,log_mbh,RA,Dec,image_path
NGC 224,8.26,10.6847083,41.26875,data/real_images/galaxy_1.jpg
NGC 221,6.48,10.6750833,41.2691667,data/real_images/galaxy_2.jpg
NGC 3031,8.26,148.8882083,69.0652778,data/real_images/galaxy_3.jpg
NGC 4594,8.8,189.9975,-11.623056,data/real_images/galaxy_4.jpg
NGC 4258,7.59,184.740625,47.303611,data/real_images/galaxy_5.jpg
NGC 1068,7.15,40.6695833,-0.0138889,data/real_images/galaxy_6.jpg
NGC 4579,7.5,189.187917,11.819722,data/real_images/galaxy_7.jpg
NGC 4596,7.5,189.592917,13.094444,data/real_images/galaxy_8.jpg
NGC 3627,6.98,170.064167,12.991389,data/real_images/galaxy_9.jpg
NGC 3368,6.9,161.0725,11.819722,data/real_images/galaxy_10.jpg
NGC 4151,7.78,182.634583,39.405556,data/real_images/galaxy_11.jpg
NGC 4258,7.59,184.740625,47.303611,data/real_images/galaxy_12.jpg
NGC 1097,8.02,41.59125,-30.274167,data/real_images/galaxy_13.jpg
NGC 3031,8.26,148.8882083,69.0652778,data/real_images/galaxy_14.jpg
NGC 2787,7.02,139.75625,51.059722,data/real_images/galaxy_15.jpg
NGC 4565,7.39,189.04375,25.946389,data/real_images/galaxy_16.jpg
NGC 4945,6.5,196.365417,-49.471667,data/real_images/galaxy_17.jpg
NGC 5506,7.5,213.290417,-3.206111,data/real_images/galaxy_18.jpg
NGC 7457,6.6,347.70875,30.366111,data/real_images/galaxy_19.jpg
NGC 4594,8.8,189.9975,-11.623056,data/real_images/galaxy_20.jpg
NGC 1300,7.2,49.92125,-19.411111,data/real_images/galaxy_21.jpg
NGC 1365,8.12,53.40125,-36.140278,data/real_images/galaxy_22.jpg
NGC 1566,6.95,64.412917,-59.5675,data/real_images/galaxy_23.jpg
NGC 3393,7.4,159.235417,-25.821667,data/real_images/galaxy_24.jpg
NGC 3516,7.4,166.1075,72.405556,data/real_images/galaxy_25.jpg
NGC 4051,6.56,180.76875,44.536111,data/real_images/galaxy_26.jpg
NGC 5033,7.5,198.875417,36.466389,data/real_images/galaxy_27.jpg
NGC 5548,7.69,214.495417,25.063889,data/real_images/galaxy_28.jpg
NGC 6814,6.68,295.277083,-10.323611,data/real_images/galaxy_29.jpg
NGC 7469,7.34,345.815417,8.869722,data/real_images/galaxy_30.jpg
IC 4329A,8.0,188.867083,-30.576111,data/real_images/galaxy_31.jpg
NGC 4748,6.6,192.595833,-8.678611,data/real_images/galaxy_32.jpg
NGC 5252,8.0,204.9425,4.504722,data/real_images/galaxy_33.jpg
NGC 5905,7.55,228.862083,55.233333,data/real_images/galaxy_34.jpg
NGC 7582,7.4,348.90375,-42.364444,data/real_images/galaxy_35.jpg
NGC 7603,7.3,351.815833,0.220833,data/real_images/galaxy_36.jpg
NGC 1068,7.15,40.6695833,-0.0138889,data/real_images/galaxy_37.jpg
NGC 3227,7.45,155.877083,19.865278,data/real_images/galaxy_38.jpg
NGC 3516,7.4,166.1075,72.405556,data/real_images/galaxy_39.jpg
NGC 3783,7.0,174.7625,-37.7675,data/real_images/galaxy_40.jpg
NGC 4501,7.2,187.445417,14.411111,data/real_images/galaxy_41.jpg
NGC 5506,7.5,213.290417,-3.206111,data/real_images/galaxy_42.jpg
NGC 6814,6.68,295.277083,-10.323611,data/real_images/galaxy_43.jpg
NGC 7469,7.34,345.815417,8.869722,data/real_images/galaxy_44.jpg
NGC 1398,7.65,54.669583,-24.839722,data/real_images/galaxy_45.jpg
NGC 1433,7.7,56.10625,-47.281111,data/real_images/galaxy_46.jpg
NGC 1672,7.5,70.640417,-59.211389,data/real_images/galaxy_47.jpg
NGC 253,6.3,11.88625,-25.288889,data/real_images/galaxy_48.jpg
NGC 2997,6.2,146.045417,-31.124722,data/real_images/galaxy_49.jpg
NGC 3081,7.2,150.332083,-21.486389,data/real_images/galaxy_50.jpg
NGC 3115,8.96,151.311667,-7.718611,data/real_images/galaxy_51.jpg
NGC 3203,7.1,154.935417,-24.028333,data/real_images/galaxy_52.jpg
NGC 3351,6.9,160.991667,11.701389,data/real_images/galaxy_53.jpg
NGC 3489,6.5,161.472083,12.256389,data/real_images/galaxy_54.jpg
NGC 3585,8.5,166.120417,-26.734722,data/real_images/galaxy_55.jpg
NGC 4216,6.6,183.707083,13.156389,data/real_images/galaxy_56.jpg
NGC 4261,8.91,184.798333,5.8125,data/real_images/galaxy_57.jpg
NGC 4477,7.0,187.714583,13.158611,data/real_images/galaxy_58.jpg
NGC 4548,6.5,188.783333,15.776389,data/real_images/galaxy_59.jpg
NGC 4697,8.44,192.15625,-5.749167,data/real_images/galaxy_60.jpg
NGC 5866,8.5,227.469583,55.113611,data/real_images/galaxy_61.jpg
NGC 6240,9.15,253.252083,2.400833,data/real_images/galaxy_62.jpg
NGC 6503,6.8,268.510417,70.083611,data/real_images/galaxy_63.jpg
NGC 7217,7.8,332.949583,21.996389,data/real_images/galaxy_64.jpg
NGC 7331,7.3,339.57125,34.4175,data/real_images/galaxy_65.jpg
NGC 7457,6.6,347.70875,30.366111,data/real_images/galaxy_66.jpg
NGC 7742,7.0,359.835417,10.009444,data/real_images/galaxy_67.jpg
IC 2560,7.0,132.914583,-33.524722,data/real_images/galaxy_68.jpg
IC 342,7.0,56.70375,68.096944,data/real_images/galaxy_69.jpg
IC 4329A,8.0,186.945833,-30.576111,data/real_images/galaxy_70.jpg
...,,,,data/real_images/galaxy_71.jpg
